Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
Predictors of dental visits among primary school children in the rural Australian community of Lithgow,Amit Arora,BMC health services research,2017,,,https://pdfs.semanticscholar.org/a3e1/848aa27b7e86a8b5b8057abf2e4ff52c4623.pdf
,Haider Mannan,,,,,
,James Rufus John,,,,,
,Loc Giang Do,,,,,
,Mario C. R. D’Souza,,,,,
,Subrat Nargundkar,,,,,
Predictors of dental visits among primary school children in the rural Australian community of Lithgow,Amit Arora,BMC health services research,2017,,,https://pdfs.semanticscholar.org/a3e1/848aa27b7e86a8b5b8057abf2e4ff52c4623.pdf
,Haider Mannan,,,,,
,James Rufus John,,,,,
,Loc Giang Do,,,,,
,Mario C. R. D’Souza,,,,,
,Subrat Nargundkar,,,,,
Predictors of patient satisfaction.,Jeffrey L Jackson,Social science & medicine,2001,12,,https://pdfs.semanticscholar.org/e094/8da7d54d3cc2ad35552c82b0a52a93301ba8.pdf
,Judith Chamberlin,,,,,
,Kurt Kroenke,,,,,
Predictors of patient satisfaction.,Jeffrey L Jackson,Social science & medicine,2001,12,,https://pdfs.semanticscholar.org/e094/8da7d54d3cc2ad35552c82b0a52a93301ba8.pdf
,Judith Chamberlin,,,,,
,Kurt Kroenke,,,,,
Predictors of repeat emergency department visits by elders.,Bronwen Connolly,Academic emergency medicine : official journal of…,1997,1,,https://www.ncbi.nlm.nih.gov/pubmed/9189191
,Emma Louise Healey,,,,,
,François Bellavance,,,,,
,Jane McCusker,,,,,
Predictors of treatment initiation with tumor necrosis factor-_ inhibitors in patients with rheumatoid arthritis.,Gang Fang,Journal of managed care & specialty pharmacy,2014,,37,https://pdfs.semanticscholar.org/3b96/5035a7cd72eb85d122c20726bd6e11bc1415.pdf
,J. Koteswara Rao,,,,,
,Joel F. Farley,,,,,
,Matthew L. Maciejewski,,,,,
,Richard A. Hansen,,,,,
,Rishi J Desai,,,,,
Prevalence and predictors of return visits to pediatric emergency departments.,Anne M. Stack,Journal of hospital medicine,2014,,,https://pdfs.semanticscholar.org/81d1/1b754a0afa76a00a8216acc82182e092d9a1.pdf
,Ayobami T. Akenroye,,,,,
,Cary W Thurm,,,,,
Prevention of body dissatisfaction and disordered eating: What next?,Dianne R Neumark-Sztainer,Eating disorders,2006,6,,https://pdfs.semanticscholar.org/8cc2/3db530c115cd246727200d83c3f8c35c6973.pdf
,Eleanor H Wertheim,,,,,
,Linda Smolak,,,,,
,Michael P Levine,,,,,
,N. Piran,,,,,
,Susan Jessica Paxton,,,,,
"Prognostic significance of visit-to-visit variability, maximum systolic blood pressure, and episodic hypertension.",Neil R. Poulter,Lancet,2010,40,,https://www.ncbi.nlm.nih.gov/pubmed/20226988
,Peter M. Rothwell,,,,,
,Sally Howard,,,,,
Prospective multicenter study of bronchiolitis: predictors of an unscheduled visit after discharge from the emergency department.,Agatha Norwood,Academic emergency medicine : official journal of…,2010,,,https://www.ncbi.nlm.nih.gov/pubmed/20370776
,Carlos Arturo Camargo,,,,,
,Jonathan M. Mansbach,,,,,
,Muhammad Waseem,,,,,
,Sunday Clark,,,,,
Reproducibility of visit-to-visit variability of blood pressure measured as part of routine clinical care.,Cara J Joyce,Journal of hypertension,2011,,,https://pdfs.semanticscholar.org/bd05/806312812c2d0b63a17deb4b1c8dd8a71d24.pdf
,Marie A Krousel-Wood,,,,,
,Paul Muntner,,,,,
Roles of disease severity and post-discharge outpatient visits as predictors of hospital readmissions,Carol Johnson,BMC health services research,2016,,,https://pdfs.semanticscholar.org/0f98/a11bd98635ab51742ef09119e4cd0165d5ac.pdf
,Hao Wang,,,,,
,Nestor R. Zenarosa,,,,,
Roles of disease severity and post-discharge outpatient visits as predictors of hospital readmissions,Carol Johnson,BMC health services research,2016,,,https://pdfs.semanticscholar.org/0f98/a11bd98635ab51742ef09119e4cd0165d5ac.pdf
,Hao Wang,,,,,
,Nestor R. Zenarosa,,,,,
STF-RNN: Space Time Features-based Recurrent Neural Network for predicting people next location,Abdulrahman Al-Molegi,2016 IEEE Symposium Series on Computational…,2016,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7849919
,Baraq Ghaleb,,,,,
,Mohammed Jabreel,,,,,
Semantics and knowledge grids: building the next-generation grid,Domenico Talia,IEEE Intelligent Systems,2004,6,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1265886
,Mario Cannataro,,,,,
Spatial and temporal considerations in next place predictions,Bhaskar Prabhala,2015 IEEE Conference on Computer Communications…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7179416
,Thomas F. La Porta,,,,,
Story Comprehension for Predicting What Happens Next,Dan Roth,EMNLP,2017,4,,https://pdfs.semanticscholar.org/df1a/c023b97e5962476c329c7a4eab358c711da4.pdf
,Haoruo Peng,,,,,
,Snigdha Chaturvedi,,,,,
Story Comprehension for Predicting What Happens Next,Dan Roth,EMNLP,2017,4,,https://pdfs.semanticscholar.org/df1a/c023b97e5962476c329c7a4eab358c711da4.pdf
,Haoruo Peng,,,,,
,Snigdha Chaturvedi,,,,,
Supervised random walks: predicting and recommending links in social networks,Jure Leskovec,WSDM,2011,99,112,https://arxiv.org/pdf/1011.4071.pdf
,Lars Backstrom,,,,,
The Effect of Prescription Drug Advertising on Doctor Visits,Ginger Zhe Jin,,2005,3,,https://pdfs.semanticscholar.org/4529/e6da79e1bbaaad2b88a13300a337094898d2.pdf
,Toshiaki Iizuka,,,,,
The adolescent sexual health visit.,Gale R. Burstein,Obstetrics and gynecology clinics of North…,2009,1,,https://www.ncbi.nlm.nih.gov/pubmed/19344850
,Taraneh Shafii,,,,,
The adolescent sexual health visit.,Gale R. Burstein,Obstetrics and gynecology clinics of North…,2009,1,,https://www.ncbi.nlm.nih.gov/pubmed/19344850
,Taraneh Shafii,,,,,
"The impact of insurance coverage on children's dental visits and expenditures, 1996.",Burton L. Edelstein,Journal of the American Dental Association,2001,1,,https://pdfs.semanticscholar.org/2d46/92bac60e7fb0009b926d727828fa971b1aa0.pdf
,John F. Moeller,,,,,
,Richard J. Manski,,,,,
The impact of screening for risk factors associated with postnatal depression at the first prenatal visit.,J W Linnane,Journal of quality in clinical practice,1997,1,,https://www.ncbi.nlm.nih.gov/pubmed/9178211
,J. A. Fraser Roberts,,,,,
,Janis Hinson,,,,,
,Joan Webster,,,,,
,Linda Dibley,,,,,
,Susan Starrenburg,,,,,
Theoretical results in genetic programming: the next ten years?,Leonardo Vanneschi,Genetic Programming and Evolvable Machines,2010,1,,http://doi.org/10.1007/s10710-010-9110-5
,Nicholas Freitag McPhee,,,,,
,Riccardo Poli,,,,,
,William B. Langdon,,,,,
Understanding and Predicting Electronic Commerce Adoption: An Extension of the Theory of Planned Behavior,Mendel Fygenson,MIS Quarterly,2006,69,78,https://pdfs.semanticscholar.org/ea6b/226b4ed262766b70eb5d9813529defa3a283.pdf
,Paul A. Pavlou,,,,,
Understanding and Predicting Electronic Commerce Adoption: An Extension of the Theory of Planned Behavior,Mendel Fygenson,MIS Quarterly,2006,69,78,https://pdfs.semanticscholar.org/ea6b/226b4ed262766b70eb5d9813529defa3a283.pdf
,Paul A. Pavlou,,,,,
Understanding and predicting human behaviour,Judith Holdershaw,,2008,,,https://pdfs.semanticscholar.org/47bd/465418609b52dd1716ea2c7ce808d2dd9948.pdf
,Philip Gendall,,,,,
Use of the BATHE method in the preanesthetic clinic visit.,Anthony DeMaria,Anesthesia and analgesia,2011,,,https://www.ncbi.nlm.nih.gov/pubmed/21865495
,Brigid C Flynn,,,,,
,George Silvay,,,,,
,Samuel DeMaria,,,,,
Use of the BATHE method in the preanesthetic clinic visit.,Anthony DeMaria,Anesthesia and analgesia,2011,,,https://www.ncbi.nlm.nih.gov/pubmed/21865495
,Brigid C Flynn,,,,,
,George Silvay,,,,,
,Samuel DeMaria,,,,,
Using Association Rules and Markov Model for Predict Next Access on Web Usage Mining,Mohd Salihin Bin Ngadiman,,2007,,,https://pdfs.semanticscholar.org/6c2a/d9937680bd4b5642caea964d0287339d5f8d.pdf
,Naomie Salim,,,,,
,Siriporn Chimphlee,,,,,
,Witcha Chimphlee,,,,,
"Viral nomenclature, where next?",Adrian J. Gibbs,Archives of Virology,2003,1,,http://doi.org/10.1007/s00705-003-0150-5
Virtual visits in a general medicine practice: a pilot study.,James E. Stahl,Telemedicine journal and e-health : the official…,2008,1,,https://www.ncbi.nlm.nih.gov/pubmed/18729750
,Ronald F. Dixon,,,,,
Visit-to Visit Systolic Blood Pressure Variability and Outcomes in Hemodialysis,Glenn M. Chertow,Journal of Human Hypertension,2014,1,,http://doi.org/10.1038/jhh.2013.49
,Jennifer E Flythe,,,,,
,Tara I. Chang,,,,,
Visit-to-visit (long-term) and ambulatory (short-term) blood pressure variability to predict mortality in an elderly hypertensive population.,Christopher M Reid,Journal of hypertension,2018,,,https://www.ncbi.nlm.nih.gov/pubmed/29266060
,Enayet K Chowdhury,,,,,
,Garry L Jennings,,,,,
,Lawrence J Beilin,,,,,
,Lindon M.H. Wing,,,,,
Visit-to-visit blood pressure variability is related to albuminuria variability and progression in patients with type 2 diabetes,Alireza Esteghamati,Journal of Human Hypertension,2014,,,http://doi.org/10.1038/jhh.2013.36
,Manouchehr Nakhjavani,,,,,
,Masoud Mozafari,,,,,
,Mostafa Mousavizadeh,,,,,
,Sina Noshad,,,,,
Visit-to-visit blood pressure variability: added 'VALUE' as a risk marker in low- and high-risk patients.,Pierre Boutouyrie,European heart journal,2018,,,https://www.ncbi.nlm.nih.gov/pubmed/29377977
,Stéphane Laurent,,,,,
VisitSense: Sensing Place Visit Patterns from Ambient Radio on Smartphones for Targeted Mobile Ads in Shopping Malls,Byoungjip Kim,Sensors,2015,,,https://pdfs.semanticscholar.org/f564/c3eef3f974a996c1ab92a63f094d4a8f25ba.pdf
,Jin-Young Ha,,,,,
,Junehwa Song,,,,,
,Seungwoo Kang,,,,,
What's next? Judging sequences of binary events.,An T Oskarsson,Psychological bulletin,2009,5,,https://pdfs.semanticscholar.org/ffc4/2d8783d5a8d5cda8622312c7173a19999a05.pdf
,G H Mcclelland,,,,,
,Leaf Van Boven,,,,,
,Reid Hastie,,,,,
Where and what: Using smartphones to predict next locations and applications in daily life,Daniel Gatica-Perez,Pervasive and Mobile Computing,2014,5,40,http://doi.org/10.1016/j.pmcj.2013.03.006
,Trinh Minh Tri Do,,,,,
Where will I go next?: Predicting future categorical check-ins in Location Based Social Networks,Velin Kounev,8th International Conference on Collaborative…,2012,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6450958
Your Mouse Reveals Your Next Activity: Towards Predicting User Intention from Mouse Interaction,Erin You Wu,2017 IEEE 41st Annual Computer Software and…,2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8029710
,Eugene Yujun Fu,,,,,
,Grace Ngai,,,,,
,Hong Va Leong,,,,,
,Stephen Chi-fai Chan,,,,,
,Tiffany C. K. Kwok,,,,,
