Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
,Seong Joon Kim,,,,,
,Seongik Hong,,,,,
,Song Chong,,,,,
SMOOTH: a simple way to model human mobility,Aarti Munjal,MSWiM,2011,9,,http://dl.acm.org/citation.cfm?id=2068957
,Tracy Camp,,,,,
,William Navidi,,,,,
STEP: A spatio-temporal mobility model for humans walks,Injong Rhee,The 7th IEEE International Conference on Mobile…,2010,2,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5663776
,Kyunghan Lee,,,,,
,Seongik Hong,,,,,
STEPS - An Approach for Human Mobility Modeling,Anh Dung Nguyen,Networking,2011,1,,https://pdfs.semanticscholar.org/ce45/3e2620a9033472a407b101d4980cd2bed355.pdf
,Michel Diaz,,,,,
,Patrick Sénac,,,,,
,Victor Ramiro,,,,,
Scaling identity connects human mobility and social interactions.,Albert-László Barabási,Proceedings of the National Academy of Sciences…,2016,,13,https://pdfs.semanticscholar.org/35ad/dcac2aa09f492823c2a4d7b21e392bc4dd19.pdf
,Chaoming Song,,,,,
,Dashun Wang,,,,,
,Nathan Eagle,,,,,
,Pierre Deville,,,,,
,Vincent D. Blondel,,,,,
Spatiotemporal Mobility Prediction in Proactive Self-Organizing Cellular Networks,Ali Imran,IEEE Communications Letters,2017,,84,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7725934
,Hasan Farooq,,,,,
Structural equation modeling of the relationships between participation in leisure activities and community environments by people with mobility impairments.,David B. Gray,Archives of physical medicine and rehabilitation,2010,,,https://www.ncbi.nlm.nih.gov/pubmed/20684897
,Holly H Hollingsworth,,,,,
Supporting Serendipitous Social Interaction Using Human Mobility Prediction,Bin Guo,IEEE Transactions on Human-Machine Systems,2015,,59,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7160746
,Hui Wang,,,,,
,Tao Gu,,,,,
,Tao Mei,,,,,
,Zhiwen Yu,,,,,
Supporting Serendipitous Social Interaction Using Human Mobility Prediction,Bin Guo,IEEE Transactions on Human-Machine Systems,2015,,59,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7160746
,Hui Wang,,,,,
,Tao Gu,,,,,
,Tao Mei,,,,,
The Great Human Capital Reallocation : A Study of Occupational Mobility in Transitional Russia,Zhiwen Yu,,2000,2,,https://pdfs.semanticscholar.org/e51f/2d341b523d4994410d3aba520312f9956f6b.pdf
The SURE_REACH Model for Motor Learning and Control of a Redundant Arm: From Modeling Human Behavior to Applications in Robotics,Gerulf K. M. Pedersen,From Motor Learning to Interaction Learning in…,2010,,,https://pdfs.semanticscholar.org/65f7/880a925bfb29752093fc85ad620d6b378b3d.pdf
,Martin V. Butz,,,,,
,Oliver Herbort,,,,,
The Temporal Characteristic of Human Mobility: Modeling and Analysis of Social Worm Propagation,Chunhe Xia,IEEE Communications Letters,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7103288
,Qiong Jia,,,,,
,Tianbo Wang,,,,,
The Threat-Rigidity Model of Professional Obsolescence and Its Impact on Occupational Mobility Behaviors of IT Professionals,Damien Joseph,ICIS,2001,3,,https://pdfs.semanticscholar.org/7715/d63adc35a9d4606a30c26f606332fa243489.pdf
,Soon Ang,,,,,
The promises of big data and small data for travel behavior (aka human mobility) analysis,Cynthia Chen,"Transportation research. Part C, Emerging…",2016,2,,https://pdfs.semanticscholar.org/615d/1b61e59537da398c583480fcf13eaba4fe94.pdf
,Jingtao Ma,,,,,
,Menglin Wang,,,,,
,Yang Liu,,,,,
,Yusak O. Susilo,,,,,
The relationship context of human behavior and development.,Ellen Berscheid,Psychological bulletin,2000,6,,https://pdfs.semanticscholar.org/7c5a/094aea3da31921143319258c60e0dbeefcd9.pdf
,Harry T. Reis,,,,,
,W. Andrew Collins,,,,,
The revolution that wasn't: a new interpretation of the origin of modern human behavior.,Andrea S. Brooks,Journal of human evolution,2000,60,,https://pdfs.semanticscholar.org/0fb3/63ba1820f4eb1ceabf0dc0890c7d170072a2.pdf
,S Mcbrearty,,,,,
The revolution that wasn't: a new interpretation of the origin of modern human behavior.,Andrea S. Brooks,Journal of human evolution,2000,60,,https://pdfs.semanticscholar.org/0fb3/63ba1820f4eb1ceabf0dc0890c7d170072a2.pdf
,S Mcbrearty,,,,,
Towards accurate mobility and radio link modeling for IEEE 802.15.6 wearable body sensor networks,Elyes Ben Hamida,2014 IEEE 10th International Conference on…,2014,1,26,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6962186
,Muhammad Mahtab Alam,,,,,
Trace-based mobility modeling for multi-hop wireless networks,Aarti Munjal,Computer Communications,2011,5,11,http://doi.org/10.1016/j.comcom.2010.11.002
,Nils Aschenbruck,,,,,
,Tracy Camp,,,,,
Tracking Human Mobility Using WiFi Signals,Arkadiusz Stopczynski,PloS one,2015,1,11,https://arxiv.org/pdf/1505.06311.pdf
,Piotr Sapiezynski,,,,,
,Radu Gatej,,,,,
,Sune Lehmann,,,,,
Two Computational Process Models of Activity-travel Behavior,Ryuichi Kitamura,,1997,1,,https://pdfs.semanticscholar.org/e70c/612e18e2a5b256d0bbfac5674119e86bdafa.pdf
,Satoshi Fujii,,,,,
Understanding Urban Human Mobility for Network Applications,Eiko Yoneki,,2015,,,https://pdfs.semanticscholar.org/f6c8/a0dabeeda1c1a6516392205c3f3aa1a6db91.pdf
,Jukka K. Nurminen,,,,,
,Kai Zhao,,,,,
,Sasu Tarkoma,,,,,
Understanding Urban Human Mobility through Crowdsensed Data,Bige Tunçer,IEEE Communications Magazine,2018,,,https://arxiv.org/pdf/1805.00628.pdf
,Billy Pik Lik Lau,,,,,
,Chau Yuen,,,,,
,Erik Wilhelm,,,,,
,Yuren Zhou,,,,,
Understanding individual human mobility patterns,Albert-László Barabási,Nature,2008,175,369,https://arxiv.org/pdf/0806.1256.pdf
,Marta C. González,,,,,
,R. A. Hidalgo CesarA.Hidalgo,,,,,
Understanding mobility based on GPS data,Quannan Li,UbiComp,2008,40,112,http://dl.acm.org/citation.cfm?id=1409677
,Wei-Ying Ma,,,,,
,Xing Xie,,,,,
,Yu Zheng,,,,,
,Yukun Chen,,,,,
Understanding predictability and exploration in human mobility,Andrea Cuttone,EPJ Data Science,2017,1,,https://arxiv.org/pdf/1608.01939.pdf
,Marta C. González,,,,,
,Sune Lehmann,,,,,
Unravelling daily human mobility motifs.,Christian M. Schneider,"Journal of the Royal Society, Interface",2013,10,40,https://pdfs.semanticscholar.org/9374/3338af9f7c1f074ccc0ea9d10b9b557bcc8b.pdf
,Marta C. González,,,,,
,Thomas Couronné,,,,,
,Vitaly Belik,,,,,
,Zbigniew Smoreda,,,,,
Unveiling the complexity of human mobility by querying and mining massive trajectory data,Fosca Giannotti,The VLDB Journal,2011,6,32,http://doi.org/10.1007/s00778-011-0244-8
,Mirco Nanni,,,,,
,Roberto Trasarti,,,,,
Urban human mobility data mining: An overview,Huy T. Vo,2016 IEEE International Conference on Big Data…,2016,,9,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7840811
,Kai Zhao,,,,,
,Sasu Tarkoma,,,,,
,Siyuan Liu,,,,,
Urban sensing based on human mobility,Shenggong Ji,UbiComp,2016,2,7,http://dl.acm.org/citation.cfm?id=2971735
,Tianrui Li,,,,,
,Yu Zheng,,,,,
User Mobility Evaluation for 5G Small Cell Networks Based on Individual Mobility Model,Junliang Ye,IEEE Journal on Selected Areas in Communications,2016,1,46,https://arxiv.org/pdf/1512.03149.pdf
,Qiang Li,,,,,
,Xiaohu Ge,,,,,
,Yang Yang,,,,,
Using social network theory for modeling human mobility,Chao Zhang,IEEE Network,2010,4,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5578912
,Evangelos D. Spyrou,,,,,
,Shusen Yang,,,,,
,Xinyu Yang,,,,,
V-MBMM: Vehicular Mask-Based Mobility Model,Kahina Ait Ali,2010 Ninth International Conference on Networks,2010,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5473982
,Laurent Moalic,,,,,
,Mustapha Lalam,,,,,
Working Paper Series The Great Human Capital Reallocation A Study of Occupational Mobility in Transitional Russia Klara Sabirianova Working,Oumaya Baala,,2000,,,https://pdfs.semanticscholar.org/fff8/25b4e00dc6c34aab84e6f14cfb022ce43b22.pdf
,,,,,,
