Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
Predictive habitat distribution models in ecology,Guisán,,2000,150,357,https://pdfs.semanticscholar.org/b44b/81772d8d53f25140455bfc815996daa10ee9.pdf
,Roger Zimmermann,,,,,
Predictive location-based QoS routing in mobile ad hoc networks,Klara Nahrstedt,ICC,2002,10,7,https://pdfs.semanticscholar.org/2930/552337a1e6d4c31b4fda5a8191d0eda6d7b8.pdf
,Samarth H. Shah,,,,,
Privacy protection for users of location-based services,Kang G. Shin,IEEE Wireless Communications,2012,8,25,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6155874
,Xiaoen Ju,,,,,
,Xin Hu,,,,,
,Zhigang Chen,,,,,
Proposed Next Generation GRB Mission : EXIST,J. Hong,,2002,,,https://pdfs.semanticscholar.org/48cf/cd545bcd4395afe0619cc1cd9822616b148b.pdf
,Jonathan E. Grindlay,,,,,
,Neil A. Gehrels,,,,,
Quantifying Location Privacy in Urban Next-Generation Cellular Networks,James W. Scrofani,HICSS,2018,,,https://pdfs.semanticscholar.org/d5a6/2f7a6bdd307ea9475786d043daabcd25ba89.pdf
,John D. Roth,,,,,
,John McEachen,,,,,
,Murali Tummala,,,,,
RADAR: An In-Building RF-Based User Location and Tracking System,Paramvir Bahl,INFOCOM,2000,804,451,https://pdfs.semanticscholar.org/9814/c5ec55aeacc3873955a9d7a866d1f2f5b2c5.pdf
,Venkata N. Padmanabhan,,,,,
Recommendations in location-based social networks: a survey,David Wilkie,GeoInformatica,2015,9,81,https://pdfs.semanticscholar.org/6bca/29fb882217379ff2cd996f9da31ca185e411.pdf
,Jie Bao,,,,,
,Mohamed F. Mokbel,,,,,
,Yu Zheng,,,,,
Recovering 6D Object Pose and Predicting Next-Best-View in the Crowd,Andreas Doumanoglou,2016 IEEE Conference on Computer Vision and…,2016,3,14,https://arxiv.org/pdf/1512.07506.pdf
,Rigas Kouskouridas,,,,,
,Sotiris Malassiotis,,,,,
,Tae-Kyun Kim,,,,,
Reference standards for next-generation sequencing,Ira W. Deveson,Nature Reviews Genetics,2017,,47,http://doi.org/10.1038/nrg.2017.44
,Simon A. Hardwick,,,,,
,Tim R. Mercer,,,,,
Reference standards for next-generation sequencing,Ira W. Deveson,Nature Reviews Genetics,2017,,47,http://doi.org/10.1038/nrg.2017.44
,Simon A. Hardwick,,,,,
,Tim R. Mercer,,,,,
Regularity and Conformity: Location Prediction Using Heterogeneous Mobility Data,Nicholas Jing Yuan,KDD,2015,4,28,http://dl.acm.org/citation.cfm?id=2783350
,Yingzi Wang,,,,,
,Yong Rui,,,,,
Robotics-based location sensing using wireless ethernet,Algis Rudys,MobiCom,2002,27,14,http://dl.acm.org/citation.cfm?id=570674
,Andrew M. Ladd,,,,,
,Dan S. Wallach,,,,,
,Guillaume Marceau,,,,,
,Kostas E. Bekris,,,,,
,Lydia E. Kavraki,,,,,
SERM: A Recurrent Model for Next Location Prediction in Semantic Trajectories,Chao Zhang,CIKM,2017,1,,http://dl.acm.org/citation.cfm?id=3133056
,Di Yao,,,,,
,Jian-Hui Huang,,,,,
,Jingping Bi,,,,,
SNVMix: predicting single nucleotide variants from next-generation sequencing of tumors,Mark G. F. Sun,Bioinformatics,2010,17,,https://pdfs.semanticscholar.org/54a6/c97a0cfc130d2f9585f80cd090b026144c67.pdf
,Rodrigo Goya,,,,,
,Sohrab P. Shah,,,,,
STF-RNN: Space Time Features-based Recurrent Neural Network for predicting people next location,Abdulrahman Al-Molegi,2016 IEEE Symposium Series on Computational…,2016,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7849919
,Baraq Ghaleb,,,,,
,Mohammed Jabreel,,,,,
STF-RNN: Space Time Features-based Recurrent Neural Network for predicting people next location,Abdulrahman Al-Molegi,2016 IEEE Symposium Series on Computational…,2016,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7849919
,Baraq Ghaleb,,,,,
,Mohammed Jabreel,,,,,
Semantic trajectory mining for location prediction,Jia-Ching Ying,GIS,2011,10,33,http://dl.acm.org/citation.cfm?id=2093980
,Tz-Chiao Weng,,,,,
,Vincent S. Tseng,,,,,
,Wang-Chien Lee,,,,,
Semantics and knowledge grids: building the next-generation grid,Domenico Talia,IEEE Intelligent Systems,2004,6,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1265886
,Mario Cannataro,,,,,
Smart mobs: The next social revolution [Book Review],S. Cherry,IEEE Spectrum,2003,29,17,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1184447
SpotON : An Indoor 3 D Location Sensing Technology Based on RF Signal Strength,Gaetano Borriello,,2000,56,39,https://pdfs.semanticscholar.org/46a1/dbf20cd13dc3204eb0cc35fc34aaa3e2a70c.pdf
,Jeffrey Hightower,,,,,
Stepping in the direction of the fall: the next foot placement can be predicted from current upper body state in steady-state walking.,Manoj Srinivasan,Biology letters,2014,4,24,https://pdfs.semanticscholar.org/e62a/afb955ca1f5c101f6570abc89214a92f4e2d.pdf
,Yang Wang,,,,,
Strategic facility location: A review,Mark S. Daskin,European Journal of Operational Research,1998,22,44,http://doi.org/10.1016/S0377-2217%2898%2900186-6
,Susan Hesse Owen,,,,,
"Stress, coping, and social support processes: where are we? What next?",Peggy A. Thoits,Journal of health and social behavior,1995,62,,https://pdfs.semanticscholar.org/d19b/bcaf99e09ed1a6382d07571f64a1c89e5de8.pdf
TPRED: a Spatio-Temporal Location Predictor Framework,Cleilton L. Rocha,IDEAS,2016,,,http://dl.acm.org/citation.cfm?id=2938544
,Igo Ramalho Brilhante,,,,,
,Salvatore Orlando,,,,,
The Active Badge Location System,Andy Hopper,ACM Trans. Inf. Syst.,1992,148,87,http://dl.acm.org/citation.cfm?id=128759
,Jonathan Gibbons,,,,,
,Roy Want,,,,,
,Veronica Falcao,,,,,
The Location Stack: A Layered Model for Location in Ubiquitous Computing,Barry Brumitt,WMCSA,2002,13,,https://pdfs.semanticscholar.org/520a/b6cfe2148beeff6aa7deea0a77d815874e82.pdf
,Gaetano Borriello,,,,,
,Jeffrey Hightower,,,,,
The impact of next-generation sequencing technology on genetics.,Elaine R. Mardis,Trends in genetics : TIG,2008,35,,https://www.ncbi.nlm.nih.gov/pubmed/18262675
The impact of next-generation sequencing technology on genetics.,Elaine R. Mardis,Trends in genetics : TIG,2008,35,,https://www.ncbi.nlm.nih.gov/pubmed/18262675
"Type, density, and location of immune cells within human colorectal tumors predict clinical outcome.",Anne Costes,Science,2006,84,,https://pdfs.semanticscholar.org/a40e/b85d3f5ca1c2e6b45e9ab9397ab56d9672b7.pdf
,Franck Pagès,,,,,
,Jérôme Galon,,,,,
"User Requirements Notation: The First Ten Years, The Next Ten Years (Invited Paper)",Daniel Amyot,JSW,2011,6,45,https://pdfs.semanticscholar.org/f083/21647788cf34d7bb282e7372b68d4e4344a1.pdf
,Gunter Mussbacher,,,,,
Using GPS to learn significant locations and predict movement across multiple users,Daniel Ashbrook,Personal and Ubiquitous Computing,2003,89,103,http://doi.org/10.1007/s00779-003-0240-0
,Thad Starner,,,,,
"Whatever next? Predictive brains, situated agents, and the future of cognitive science.",Andy Clark,The Behavioral and brain sciences,2013,117,,https://pdfs.semanticscholar.org/cfae/46f54d6725cbc338f34d4c749518b0aa2479.pdf
Where and what: Using smartphones to predict next locations and applications in daily life,Daniel Gatica-Perez,Pervasive and Mobile Computing,2014,5,40,http://doi.org/10.1016/j.pmcj.2013.03.006
,Trinh Minh Tri Do,,,,,
WhereNext: a location predictor on trajectory pattern mining,Anna Monreale,KDD,2009,40,62,http://dl.acm.org/citation.cfm?id=1557091
,Fabio Pinelli,,,,,
,Fosca Giannotti,,,,,
,Roberto Trasarti,,,,,
You Are Where You Go: Inferring Demographic Attributes from Location Check-ins,Fuzheng Zhang,WSDM,2015,7,26,http://dl.acm.org/citation.cfm?id=2685287
,Nicholas Jing Yuan,,,,,
,Wen Zhong,,,,,
,Xing Xie,,,,,
,Yuan Zhong,,,,,
