Title,Date,Venue/Journal,Authors,Key word list
A mobility prediction algorithm for the seamless handoff,2013,International Conference on Ubiquitous and Future Networks,"Chuyen Luong, Son Do, Thang Hoang, Deokjai Choi","['Quality of service', 'Maximum-entropy Markov model', 'Markov model']"
A Hybrid Mobility Prediction (HMP) strategy for PCS networks,2016,Pattern Analysis and Applications,Ahmed Ibrahim Mohammed Saleh,"['Real-time computing', 'Quality of service', 'Probabilistic logic']"
Resource Reservation for Handoff Using Location-Aided Mobility Prediction,2006,Asia-Pacific Conference on Communications,"Huamin Zhu, Qinghai Yang, Kyung-sup Kwak","['Wireless', 'Resource allocation', 'Reservation']"
Seamless mobile services using mobility prediction,2002,Arxiv,"Yoko Intell. Prop. Division Kikuta, Kenji Intell. Prop. Division Sakamoto, Kenichi Intell. Prop. Division Yamazaki, Tsutomu Intell. Prop. Division Yokoyama","['Network interface controller', 'Mobile telephony', 'Mobile technology']"
A Review: On Mobility Prediction for Wireless Networks,2013,Arxiv,"J. Ananthi, V. Ranganathan","['Spite', 'Quality of service', '+7']"
Refined Cluster Based Mobility Prediction with Weighted Algorithm,2010,International Conference on Computational Intelligence and Communication Networks,"Naveen Kumar Saini, Aditya Trivedi","['Wireless network', 'Wireless ad hoc network', 'Network topology']"
A scalable mobility-adaptive location service with Kalman-based prediction,2011,Wireless Communications and Networking Conference,"Ebtisam Amar, Selma Boumerdassi","['Server', 'Scalability', 'Routing protocol']"
A novel mobility prediction in 802.11 infrastructure networks by location tracking and data mining,2007,International Conference on Information Technology,"B. Issac, K. Hamid, C. E. Tan","['Data science', 'Data mining', 'CITE']"
Mobility Prediction for QoS Provisioning,2003,Arxiv,"Hyong S. Kim, Wee-Seng Soh","['Wireless network', 'Wireless', 'Software deployment']"
Mobility prediction-based resource reservation and restorability enhancement in cellular networks,2003,Arxiv,"Hyong S. Kim, Wee-Seng Soh","['Spare part', 'Software deployment', '+8']"
A Fuzzy Decision Tree Based Mobility Prediction Mechanism in Mobile Internet,2007,Arxiv,"X Wang, S Cai, H Cheng, M Huang, J Cao","['Ultra-wideband', 'The Internet', '+4']"
Educated Rules for the Prediction of Human Mobility Patterns Based on Sparse Social Media and Mobile Phone Data,2014,Arxiv,"Konstantinos Gkiotsalitis, Francesco Alesiani, Roberto Baldessari","['Travel behavior', 'Software deployment', '+8']"
Clustering Algorithm for MANETs based on mobility prediction,2005,Arxiv,"Vincent Bricard-Vieu, Noufissa Mikou","['Machine learning', 'Hierarchical network model', 'FLAME clustering']"
Vehicular Mobility Prediction by Bayesian Networks,2007,Arxiv,Kari Schougaard,"['Mobility model', 'Middleware', '+7']"
Robust Multi-path Routing for Vanet Based on Mobility Prediction,2014,Information Technology Journal,"Guangsong Yang, Xinwang Zheng, Chaoyang Chen, Lianfen Huang","['Computer science', 'Computer network', 'CITE']"
Theoretical prediction of high electron mobility in multilayer MoS2 heterostructured with MoSe2,2018,Journal of Chemical Physics,"Liping Ji1, Juan Shi1, Z. Y. Zhang1, 2, Jun Wang1, Jiachi Zhang1","['1Lanzhou University,', '2Ministry of Education', 'van der Waals force']"
MIRACLE: Mobility Prediction Inside a Coverage Hole Using Stochastic Learning Weak Estimator,2016,"IEEE Transactions on Systems, Man, and Cybernetics","Sudip Misra, Sukhchain Singh, Manas Khatua","['Wireless sensor network', 'Trajectory', 'Stochastic process']"
"Combined Contribution of Reduced Functional Mobility, Muscle Weakness, and Low Serum Albumin in Prediction of All-Cause Mortality in Hemodialysis Patients: A Retrospective Cohort Study",2018,Journal of Renal Nutrition,"Takahiro Shimoda, Ryota Matsuzawa, Kei Yoneki, Manae Harada, Takaaki Watanabe","['Kitasato University', 'Risk of mortality', 'Retrospective cohort study']"
Mobility prediction handover using user mobility pattern and guard channel assignment scheme,2004,Lecture Notes in Computer Science,"Jae-il Jung1, Jaeyeol Kim2, Younggap You2","['2Chungbuk Natâ€™l University', 'Soft handover', 'Mobility model']"
Asynchronous Localization With Mobility Prediction for Underwater Acoustic Sensor Networks,2018,IEEE Transactions on Vehicular Technology,"Jing Yan1, Xiaoning Zhang1, Xiaoyuan Luo1, Yiyin Wang2, Cailian Chen2","['1Yanshan University,', '2Shanghai Jiao Tong University', 'Wireless sensor network']"
Human mobility prediction from region functions with taxi trajectories,2017,PLOS ONE,"Minjie Wang, Su Yang, Yi Sun, Jun Gao","['CITE', 'share', 'CITATIONS* (1)']"
Mobility Prediction for Efficient Resources Management in Vehicular Cloud Computing,2017,Mobile Cloud Computing & Services,"Ahmad M. Mustafa1, Omar M. Abubakr2, Omar Ahmadien3, Ahmed Ahmedin4, Bassem Mokhtar5","['2Information Technology Institute,', '3Istanbul Å_ehir University,', '4University of California, Davis,']"
An adaptive handover prediction scheme for seamless mobility based wireless networks,2014,The Scientific World Journal,"Ali Safa Sadiq1, Norsheila Binti Fisal2, Kayhan Zrar Ghafoor3, Jaime Lloret4","['2Department of Communication Engineering,', '3Koya University,', '4Polytechnic University of Valencia']"
Multicast protocol based on QoS guarantees mechanism under mobility prediction,2007,Computer Engineering and Design,Liu Jin-zhu,"['Quality of service', 'Network performance', 'Network packet']"
APPARATUS AND METHOD FOR THE PREDICTION OF GROUP MOBILITY IN WIRELESS SENSOR NETWORK,2009,Arxiv,"Park Chang Sik, Chong Hak Jin, Kim Seong Lyun, Kim Dong Min, Kim So Young","['Wireless sensor network', 'Computer science', 'Computer network']"
Exploiting social and mobility patterns for friendship prediction in location-based social networks,2016,International Conference on Pattern Recognition,"Jorge Carlos Valverde-Rebaza1, Mathieu Roche2, Pascal Poncelet3, Alneu de Andrade Lopes1","['2TETIS & LIRMM, Cirad, Montpellier, France,', '3University of Montpellier', 'Social network']"
A method of contents distribution by mobility prediction for wireless access gate system in MMW band,2014,Arxiv,"Tanizaki Yuta, Sasaki Chikara, Tagami Atsushi, Yamaoka Katsunori","['Traffic volume', 'Extremely high frequency', '+2']"
Understanding Vulnerabilities of Location Privacy Mechanisms against Mobility Prediction Attacks,2017,International Conference on Mobile and Ubiquitous Systems: Networking and Services,"Zohaib Riaz, Frank DÃ_rr, Kurt Rothermel","['Vulnerability', 'Social network', 'Publication']"
Mobility prediction based intelligent algorithms for mobile ad hoc networks,2008,Arxiv,Aravindhan Venkateswaran,"['Software deployment', 'Residual', 'Relay']"
Human Mobility Prediction Through Twitter,2018,Procedia Computer Science,Carmela Comito,"['Trajectory', 'Social media', 'Similarity measure']"
Stochastic-Geometry-Based Performance Analysis of Delayed Mobile Data Offloading With Mobility Prediction in Dense IEEE 802.11 Networks,2017,IEEE Access,"Zhiqun Hu, Zhaoming Lu, Xiangming Wen, Qishan Li","['Stochastic process', 'Stochastic geometry', 'Software deployment']"
Mobility Prediction-Assisted Over-The-Top Edge Prefetching for Hierarchical VANETs,2018,IEEE Journal on Selected Areas in Communications,"Zhongliang Zhao, Lucas Guardalben, Mostafa Karimzadeh, Jose Silva, Torsten Braun","['Vehicular ad hoc network', 'Testbed', 'Service provider']"
METHOD FOR CONTROLLING THE SENSOR ROBOT BASED ON MEMBER MOBILITY PREDICTION,2010,Arxiv,"Lee Zu Cheul, Yi Kun Ho, Kim Dong Min, Lee Hyun Kwan, Kim Seong Lyun","['Control engineering', 'Computer science', 'CITE']"
A MOBILITY PREDICTION FOR FAST HANDOVER IN MOBILE TERMINAL,2008,Arxiv,"Kim Jae Pyeong, Kim Do Hyung, Kim Won Tae, Lee Hwan Gu, Kim Sun Ja","['Computer science', 'Computer network', 'CITE']"
A mobility prediction system leveraging realtime location data streams: poster,2016,ACM/IEEE International Conference on Mobile Computing and Networking,"Vaibhav Kulkarni, Arielle Moro, BenoÃ®t Garbinato","['Swift', 'Predictive modelling', 'Mobility model']"
Applying stochastic methods for range prediction in E-mobility,2015,International Conference on Supercomputing,"Kai Gebhardt, Volkmar Schau, Wilhelm R. Rossak","['Real-time computing', 'Energy consumption', 'Electric vehicle']"
Adaptive mobility management in cellular networks with multiple model-based prediction,2013,International Conference on Wireless Communications and Mobile Computing,"Satoshi Ikeda, Nobuharu Kami, Takashi Yoshikawa","['Radio resource management', 'Paging', 'Mobility model']"
TravelMiner: On the Benefit of Path-Based Mobility Prediction,2016,"Sensor, Mesh and Ad Hoc Communications and Networks","Jaeseong Jeong1, Kyunghan Lee2, Beknazar Abdikamalov2, Kimin Lee3, Song Chong3","['2Ulsan National Institute of Science and Technology,', '3KAIST', 'Statistical model']"
Effect of Mobility Prediction on Resource Utilization in Wireless Networks,2010,Wireless Communications and Networking Conference,"Pratap S. Prasad, Prathima Agrawal","['Wireless network', 'Throughput', 'Scalability']"
Routing Protocol for Mobile Ad HOC Networks Using Mobility Prediction,2005,"International Conference on Mobile Technology, Applications, and Systems","W. Creixell, K. Sezaki","['Wireless ad hoc network', 'Wireless Routing Protocol', 'Vehicular ad hoc network']"
Resource management for mobile edge computing using user mobility prediction,2018,International Conference on Information Networking,"Takayuki Ojima, Takeo Fujii","['Wireless', 'Task analysis', 'Server']"
Energy-Efficient and Reliable Routing for Mobility Prediction-Based MANETs,2015,Mobile Ad-hoc and Sensor Networks,"Hasan Abdulwahid, Bin Dai, Benxiong Huang, Zijing Chen","['Wireless Routing Protocol', 'Static routing', 'Optimized Link State Routing Protocol']"
Support Vector Machine Based Mobility Prediction Scheme in Heterogeneous Wireless Networks,2015,Mathematical Problems in Engineering,"Jiamei Chen, Lin Ma, Yubin Xu","['Wireless network', 'Support vector machine', 'Subnet']"
Coverage Prediction in Urban Environments for Inter-System Mobility Simulations,2009,International Conference on Communications,"Tommaso Balercia1, Valerio Frascolla2, Attila Bilgic1","['2Comneon GmbH, Nuremberg, Germany', 'Wireless', 'Roaming']"
"Prediction of clinical outcomes using the pyrolysis, gas chromatography, and differential mobility spectrometry (Py-GC-DMS) system",2016,Journal of Analytical and Applied Pyrolysis,"Arati A. Inamdar1, Parag Borgaonkar2, Yvonne K. Remache1, Shalini Nair2, Waleed Maswadeh3","['1Hackensack University Medical Center,', '2AC Birox, LLC, Newark, NJ 07102, United States,', '3Edgewood Chemical Biological Center']"
MobDatU: A New Model for Human Mobility Prediction Based on Heterogeneous Data,2015,Arxiv,"Lucas Maia Silveira1, Jussara M. Almeida1, Humberto Marques-Neto2, Artur Ziviani3","['2Pontificia Univ. Catolica de Minas Gerais, Belo Horizonte, Brazil,', '3Lab. Nac. de Comput. Cient fica, Petropolis, Brazil', 'Web application']"
Ubiquitous Middleware Using Mobility Prediction Based on Neuro-Association Mining for Adaptive Distributed Object System,2009,Arxiv,"Romeo Mark A. Mateo1, Malrey Lee2, Jaewan Lee1","['2Chonbuk National University', 'Real-time computing', 'Multilayer perceptron']"
Routing Protocol with Mobility Prediction in Mobile Ad-Hoc Networks,2005,Journal of Northeastern University,Wang Guang-xing,"['Zone Routing Protocol', 'Wireless Routing Protocol', 'Routing protocol']"
Sublimation Entropy and Dissociation Constants Prediction by Quantitative Evaluation of Molecular Mobility in Crystals,2017,Journal of Physical Chemistry Letters,"Sergiy O. Garbuzynskiy, Alexei V. Finkelstein","['Sublimation (phase transition)', 'Solid-state', '+8']"
Fuzzy Logic Mobility Prediction Routing Algorithm for Mobile Ad Hoc Networks: Fuzzy Logic Mobility Prediction Routing Algorithm for Mobile Ad Hoc Networks,2009,Journal of Software,"Xue-Mei Gao, Xin-Ming Zhang, Dong Shi, Feng-Fu Zou","['Wireless Routing Protocol', 'Vehicular ad hoc network', '+7']"
Efficient Fine-Grained Location Prediction Based on User Mobility Pattern in LBSNs,2017,International Conference on Advanced Cloud and Big Data,"Jiuxin Cao, Shuai Xu, Xuelin Zhu, Renjun Lv, Bo Liu","['Social network', 'Popularity', 'Mobility model']"
MOBILITY PREDICTION METHOD FOR VEHICULAR NETWORK USING MARKOV CHAIN,2016,Arxiv,"Arfah Hasbollah, Sharifah H. S. Ariffin, N. Fisal","['Wireless network', 'Resource allocation', 'Real-time computing']"
Fuzzy Logic Mobility Prediction Routing Algorithm for Mobile Ad Hoc Networks,2009,Journal of Software,Gao Xue,"['Wireless ad hoc network', 'Wireless Routing Protocol', 'Optimized Link State Routing Protocol']"
Interference management via access control and mobility prediction in two-tier heterogeneous networks,2014,Journal of Central South University,"Zhu Xiao1, 2, Jie Chen1, Dong Wang1, Ren-fa Li1, Ke-chu Yi2","['2Xidian University', 'Telecommunications link', 'Macrocell']"
A social DTN routing protocol based on periodical node mobility prediction,2012,International Conference on Computer Science and Network Technology,"Yijing Liu1, Zhishu Li1, Xiang Xia1, Yalan Ye2","['2University of Electronic Science and Technology of China', 'Zone Routing Protocol', 'Wireless Routing Protocol']"
Advanced scalable multicast routing protocol with mobility prediction for Ad Hoc networks,2008,Computer Engineering and Applications,Qin Yong,"['Zone Routing Protocol', 'Wireless Routing Protocol', 'Protocol Independent Multicast']"
User mobility prediction based handoff scheme for 60 GHz radio over fiber network,2014,Consumer Communications and Networking Conference,"Faisal Ali Hossain, Arshad M. Chowdhury","['Radio over fiber', 'Handover', 'Distributed computing']"
An improved Markov method for prediction of user mobility,2016,Conference on Network and Service Management,"Yihang Cheng, Yuanyuan Qiao, Jie Yang","['Smart city', 'Mobile device', 'Markov process']"
A mobility prediction (MP)-based phenomenon monitoring in an unbounded area,2015,Asia-Pacific Conference on Communications,"Duc Van Le, Hoon Oh, Seokhoon Yoon","['Wireless sensor network', 'Speedup', 'Real-time computing']"
An Efficiency Prediction of Mobility Solutions in Direct Selling Businesses of Mainland China,2015,International journal of information and management sciences,"Horng Jinh Chang, Ta-Ching Lee","['Marketing', 'Mainland China', '+4']"
Exploring the significance of human mobility patterns in social link prediction,2014,ACM Symposium on Applied Computing,"Basma Alharbi, Xiangliang Zhang","['Social network', 'Simulation', 'Mobility model']"
Dengue propagation prediction using human mobility,2016,Moratuwa Engineering Research Conference,"M.P.A.R. Abeyrathna, D.A. Abeygunawrdane, R.A.A.V. Wijesundara, V.B. Mudalige, Madushi Bandara","['University of Moratuwa', 'Sensor fusion', 'Mobile telephony']"
Improving resource allocation performance in mobile ad hoc grid with mobility prediction,2014,International Conference on Intelligent Green Building and Smart Grid,"Sri Chusri Haryanti, Riri Fitri Sari","['Wireless ad hoc network', 'Vehicular ad hoc network', 'Resource allocation']"
A potential approach for mobility prediction using GPS data,2017,International Conference on Information Science and Technology,"Binh T. Nguyen, Nhan V. Nguyen, Nam T. Nguyen, My Huynh T. Tran","['Support vector machine', 'Supervised learning', 'Pattern recognition']"
Prediction of Drift Time in Ion Mobility-Mass Spectrometry Based on Peptide Molecular Weight,2010,Protein and Peptide Letters,"Bing Wang, Steve Valentine, Manolo Plasencia, Xiang Zhang","['Peptide', 'Mass spectrometry', '+6']"
Buy4Me: A Delivery System via Mobility Prediction Based on Mobile Crowd Sensing,2015,Ubiquitous Intelligence and Computing,"Yichu Qu, Zhiyong Yu, Xianghan Zheng","['Wireless sensor network', 'Mobility model', 'Mobile telephony']"
Incremental DataGrid Mining Algorithm for Mobility Prediction of Mobile Users,2009,Journal of Computer Science,"U. Sakthi, R.S. Bhuvaneswaran","['Mobile computing', 'Location-based service', '+8']"
Mobility Prediction in MANET using Neural Learning Methods,2017,Artificial Intelligent Systems and Machine Learning,C. Rajalakshmi,"['Perceptron', 'Network topology', '+7']"
Mobility Prediction for Dynamic Location Area in Cellular Network Using Hidden Markov Model,2015,Arxiv,"Nilesh B. Prajapati1, D. R. Kathiriya2","['2Computer Center, Anand Agriculture University', 'Real-time computing', 'Paging']"
Accurate mobility modeling and location prediction based on pattern analysis of handover series in mobile networks,2008,Advances in Mobile Multimedia,"PÃ©ter FÃ_lÃ¶p, KÃ¡roly Lendvai, TamÃ¡s SzÃ¡lka, SÃ¡ndor Imre, SÃ¡ndor SzabÃ_","['WiMAX', 'Mathematical model', 'Markov chain']"
Extended radio frequency nonlinear model for power prediction of AlGaAs/InGaAs pseudomorphic high electron mobility transistors,2002,Journal of Vacuum Science and Technology,"Cheng-Kuo Lin, Yi-Jen Chan","['Semiconductor device modeling', 'Radio frequency', '+6']"
Fast Handover Authentication Based on Mobility Prediction,2015,Arxiv,"Xiaodong Lin, Rongxing Lu","['Computer science', 'Computer network', '+1']"
Adaptive Quality Improvement Scheme (AQIS) with Composite Mobility Prediction for Multimedia Traffic in WLAN Handoff,2006,Wireless Telecommunications Symposium,"Mukund Raghavan, Qing-An Zeng","['Wireless network', 'Wireless Multimedia Extensions', 'Wireless']"
New Trends in Mobility Modelling and Handover Prediction,2014,Arxiv,"Francisco BarcelÃ_-Arroyo1, Michal Gorawski2, Krzysztof Grochla2, Israel MartÃ_n-Escalona1, Konrad Polys2","['1Polytechnic University of Catalonia,', '2Institute of Theoretical and Applied Informatics of PAS', 'Wireless network']"
Adaptive resource allocation scheme based on call admission control and mobility prediction for multimedia services in wireless cellular networks,2008,International Conference on Computer and Communication Engineering,"M. Sanabani, S. Shamala, M. Othman, Z. Zukarnain","['Resource management', 'Resource allocation', 'Real-time computing']"
Performance improvement of cognitive radio network using spectrum prediction and monitoring techniques for spectrum mobility,2016,Grid Computing,"Prabhat Thakur1, Alok Kumar1, S Pandit1, G Singh1, S N Satashia2","['2Indian Space Research Organisation', 'Throughput', 'Real-time computing']"
Directed broadcasting with mobility prediction for vehicular sensor networks,2016,International Journal of Distributed Sensor Networks,"Si-Ho Cha1, Jong-Eon Lee2, Minwoo Ryu3","['22Tactical Communication Team, Hanwha Thales, Gyeonggidong-Ro, Chang-Li, Namsa-Myun, Cheoin-gu, Yongin-Si, Gyeonggi-Do, Republic of Korea,', '33IoT Platform Research Center, Korea Electronics Technology Institute (KETI), Seongnam-si, Gyeonggi-do, Republic of Korea', 'Wireless sensor network']"
METABOLIC SYNDROME AND PREDICTION OF MOBILITY DECLINE IN OLDER PERSONS,2007,Journal of the American Geriatrics Society,Huai Yong Cheng,"['Physical therapy', 'Metabolic syndrome', 'Medicine']"
Novel intelligent soft computing techniques for location prediction in mobility management,2013,Students Conference on Engineering and Systems,"Smita Parija1, Santosh Nanda2, Prasanna Kumar Sahu1, Sudhansu Sekhar Singh3","['2Eastern Academy of Science and Technology,', '3KIIT University', 'Soft computing']"
A Fast Handover Protocol for Mobile IPv6 Using Mobility Prediction Mechanism,2004,International Conference on Computational Science and Its Applications,"Dae Sun Kim, Choong Seon Hong","['Scalability', 'Real-time computing', 'Packet loss']"
New multicast scheme based on Dynamic mobility prediction in mobile IPv6 environment,2007,Journal of Central South University of Technology,"Huang Guo-sheng (é»„å›_ç››)1, Chen Zhi-gang (é™ˆå¿—åˆ_)2, Zhao Ming (èµµæ˜_)2, Wang Lu-lu (ç_‹è·¯éœ_)2, Huo Ying (éœçè‹±)2","['1Jishou University,', '2Central South University', 'Xcast']"
"Been There, Done That: What Your Mobility Traces Reveal about Your Behavior Nokia Mobile Data Challenge - Next Place Prediction",2012,Arxiv,"Vincent Etter, Mohamed Kafsi, Ehsan Kazemi","['Internet privacy', 'Engineering', '+1']"
Directional-based Beacon Packet Mobility Prediction Scheme for Wireless Link Breakdown in MANET Position-Based Routing Protocols,2011,Australian journal of basic and applied sciences,"Raed Alsaqour1, Maha Abdelhaq2, Tariq Abdullah3","['2National University of Malaysia,', '3Azal University for Science and Technology', 'Wireless Routing Protocol']"
"Multibody dynamic simulation of military vehicles for stability, safety, mobility, and load prediction",2006,Arxiv,Dick Kading,"['Vehicle dynamics', 'Multibody system', 'Equations of motion']"
Precise Location Prediction Algorithms Using Improved Random Walk-based and Generalized Markovian Mobility Models,2008,International Telecommunications Network Strategy and Planning Symposium,"Karoly Lendvai, Peter Fulop, Sandor Szabo, Tamas Szalka","['Random walk', 'Probability density function', 'Mobility model']"
Flow of polymer solutions through porous media-Prediction of mobility reduction from ex-situ measurements of elasticity,2017,Arxiv,"S. Jouenne, G. Heurteux","['Viscometer', 'Strain rate', '+8']"
Improved Fair-Zone technique using Mobility Prediction in WSN,2012,arXiv: Networking and Internet Architecture,"K. Ramesh, K. Somasundaram","['Ubiquitous computing', 'Scalability', '+8']"
A Prediction Based Mobility Extension for eHIP Protocol,2011,International Symposium on Computer and Information Sciences,"Zeynep Gurkas Aydin1, A. Halim Zaim2, Hakima Chaouchi3, Tulin Atmaca3","['2Institute of Science and Engineering, Commerce University, Istanbul, Turkey,', '3Telecom & Management SudParis', 'Wireless']"
Mobility prediction for directional networking,2005,Military Communications Conference,"Ren Wang, Xinyu Wang, T. Chow, J. Lee","['Wireless ad hoc network', 'Mobility model', 'Mobile ad hoc network']"
Leaching of Organophosphorus and Carbamate Pesticides in Soil Column and Prediction of Their Mobility Using the Convective Mobility Test Model in Soils,2005,Arxiv,"Chan-Sub Kim, Yang-Bin Ihm, Hee-Dong Lee, Byung-Youl Oh","['Pesticide', 'Parathion', '+7']"
Centralized Mobility Prediction Support in a Hierarchical Architecture,2006,International Multi-Conference on Computing in Global Information Technology,"Mazen Tlais1, Frederic Weis2","['2University of Rennes', 'Graph', 'Computer science']"
Research on road topology based mobility prediction schemes,2007,High technology letters,"é™ˆæ_—, Chen, Hongzhong, Jiang, Changjun","['Topology', 'Mobility model', '+5']"
Position-prediction-based motion classification assisted strategy in mobility management,2009,International Conference on Information and Communication Security,"Gu Chen, Song Mei, Zhang Yong","['Mobility management', 'Heterogeneous network', 'Handover']"
MOBILITY PREDICTION OF ROVERS ON SOFT TERRAIN: EFFECTS OF WHEEL- AND TOOL-INDUCED TERRAIN DEFORMATIONS,2012,Arxiv,"Daniel Holz, A Li Azimi, Marek Teichmann","['Terramechanics', 'Terrain', '+7']"
An algorithm using join/prune mechanisms to improve handoff aided by mobility prediction in wireless networks,2005,International Conference on Networks,"S. Venkatachalaiah, R. Suryasaputra, R.J. Harris","['Xcast', 'Source-specific multicast', 'Protocol Independent Multicast']"
Prediction of Mobility Profile with Minimum Real Time Measurements using Artificial Intelligence,2011,Arxiv,Mubarak Aoudah Al-Dhufairi,"['Engineering', 'CITE', 'share']"
"Stochastic approaches to mobility prediction, path planning and motion control for ground vehicles in uncertain environments",2009,Arxiv,Gaurav Kewlani,"['Motion planning', 'Motion control', '+2']"
Mobility prediction in 4G D-Cov Networks,2005,Arxiv,"Mazen Tlais, FrÃ©dÃ©ric Weis","['Network performance', 'Neighbor Discovery Protocol', '+7']"
Water mobility of diffusion MRI in prediction of response to chemoembolization in liver cancer,2009,Chinese journal of oncology,"Yuan Z, Ye Xd, Dong S, Xu Lc, Sun Zc","['Spleen', 'Radiology', 'Predictive value of tests']"
PREDICTION OF MOBILITY SPECTRUM SHIFT OF ATMOSPHERIC IONS DUE TO THE PRESENCE OF ION-MOLECULE REACTIONS,1999,Journal of atmospheric electricity,"Koichi Iinuma, é£¯æ__ æÅ’ä¸€","['Nuclear magnetic resonance', 'Nitric acid', '+4']"
Use of the Stroke Recovery of Activities of Daily Living and Mobility (RAM) Index for prediction of outcome,2000,Arxiv,Susan K Brenneman,"['Physical therapy', 'Physical medicine and rehabilitation', '+2']"
Vision-Based Prediction of ICU Mobility Care Activities using Recurrent Neural Networks,2017,Neural Information Processing Systems,"Gabriel Bianconi, Rishab Mehra, Serena Yeung1, Francesca Salipur, Jeffrey Jopling2","['1Stanford University,', '2Gordon and Betty Moore Foundation', 'Recurrent neural network']"
Evaluation of Graft Effluent High Mobility Group Box-1 (HMGB-1) for Prediction of Outcome After Liver Transplantation,2018,Annals of Transplantation,"Philipp Houben, Ralph Hohenberger, Kenya Yamanaka, Markus W. BÃ_chler, Peter Schemmer","['Medicine', 'Liver transplantation', 'Intensive care medicine']"
A Novel Prediction Tool to Predict Mobility Outcome After Lower Extremity Amputation Secondary to Peripheral Arterial Disease and/or Diabetes,2016,European Journal of Vascular and Endovascular Surgery,"J. Czerniecki, A. Turner, R. Williams, M.L. Thompson, K. Hakimi","['University of Washington', 'Surgery', 'Peripheral']"
DeepUrbanMomentum: An Online Deep-Learning System for Short-Term Urban Mobility Prediction,2018,National Conference on Artificial Intelligence,"Renhe Jiang1, Xuan Song2, Zipei Fan1, Tianqi Xia1, Quanjun Chen1","['1University of Tokyo,', '2University of Iowa', 'Machine learning']"
Deep ROI-Based Modeling for Urban Human Mobility Prediction,2018,Arxiv,"Renhe Jiang1, Xuan Song2, Zipei Fan1, Tianqi Xia1, Quanjun Chen1","['1University of Tokyo,', '2National Institute of Advanced Industrial Science and Technology', 'Urban computing']"
From Polyethylene to Polystyrene: First Principles Prediction of carrier mobility,2018,Conference on Electrical Insulation and Dielectric Phenomena,"M. Sato, A. Kumada, K. Hidaka","['Polyethylene', 'Photochemistry', 'Oligomer']"
Prediction of high-density and high-mobility two-dimensional electron gas at Al x Ga 1âˆ’x N/4H-SiC interface,2016,Materials Science Forum,"Zhan Wei Shen1, Feng Zhang1, Sima Dimitrijev2, Ji Sheng Han2, Li Xin Tian1","['1Chinese Academy of Sciences,', '2Griffith University', 'Transistor']"
StepDeep: A Novel Spatial-temporal Mobility Event Prediction Framework based on Deep Neural Network,2018,Knowledge Discovery and Data Mining,"Bilong Shen1, Xiaodan Liang2, Yufeng Ouyang3, Miaofeng Liu4, Weimin Zheng1","['1Tsinghua University,', '2Carnegie Mellon University,', '3Arizona State University,']"
Trust in IoT-enabled mobility services: predictive analytics and the impact of prediction errors on the quality of service in bike sharing,2018,The Internet of Things,"C. Latinopoulos, N. Daina, J.W. Polak","['Quality of service', 'Predictive analytics', 'Internet of Things']"
Study of road surface shape prediction for drivability evaluation of a mobility scooter in a grassy area,2017,IEEE/SICE International Symposium on System Integration,"H. Kamimura, M. Shino, H Yoshitake, T. Ishikawa","['Road surface', 'Engineering', 'Computer vision']"
3D Point Cloud-Based Visual Prediction of ICU Mobility Care Activities.,2018,Arxiv,"Bingbin Liu, Michelle Guo, Edward Chou, Rishab Mehra, Serena Yeung","['Real-time computing', 'Point cloud', 'Computer science']"
Delay-Minimization Routing for Heterogeneous VANETs with Machine Learning based Mobility Prediction,2019,IEEE Transactions on Vehicular Technology,"Yujie Tang, Nan Cheng, Wen Wu, Miao Wang, Yanpeng Dai","['Minification', 'Distributed computing', 'Computer science']"
Why do people move? Enhancing human mobility prediction using local functions based on public records and SNS data,2018,PLOS ONE,"Jungmin Kim, Juyong Park, Wonjae Lee","['Data mining', 'Business', 'CITE']"
A Cooperative Caching Scheme Based on Mobility Prediction in Vehicular Content Centric Networks,2018,IEEE Transactions on Vehicular Technology,"Lin Yao1, Ailun Chen1, Jing Deng2, Jianbang Wang3, Guowei Wu1","['2University of North Carolina at Greensboro,', '3National University of Singapore', 'Trajectory']"
Macroscopic Interfacial Property as a Determining Parameter for Reliable Prediction of Charge Mobility in Organic Transistors,2018,Journal of Physical Chemistry C,"Tonnah Kwesi Rockson, Seolhee Baek, Hayeong Jang, Seungtaek Oh, Giheon Choi","['Hanbat National University', 'Transistor', 'Thiophene']"
Statistical Approach to Mobility Prediction for Planetary Surface Exploration Rovers in Uncertain Terrain,2009,International Conference on Robotics and Automation,"Genya Ishigami, Gaurav Kewlani, Karl Iagnemma","['Terrain', 'Robotics', 'Remote sensing']"
Proactive Edge Caching Strategy Based on Mobility Prediction in Dense Small Cell Networks,2017,Arxiv,"Tianming Song1, Heli Zhang1, Xi Li1, Chunsheng Zhu2, Hong Ji1","['2University of British Columbia', 'Small cell', 'Computer science']"
Robust Proactive Mobility Management in Named Data Networking under Erroneous Content Prediction,2017,Global Communications Conference,"Hesham Farahat, Ramy Atawia, Hossam S. Hassanein","['The Internet', 'Stochastic optimization', 'Robustness (computer science)']"
Human mobility prediction based on a hierarchical interest model,2017,Wireless Personal Multimedia Communications,"Wei Liu1, Yozo Shoji1, Ryoichi Shinkuma2","['2Kyoto University', 'Tensor', 'Stress (mechanics)']"
